Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,India,Cereal,Offline,L,2020-01-02,396702640,2020-01-21,6735,255.28,122.82,1719310.8,827192.7,892118.1
North America,Russia,Clothes,Online,C,2020-01-19,479368908,2020-02-10,5986,9.33,4.76,55849.38,28493.36,27356.02
Australia and Oceania,Kenya,Personal Care,Offline,H,2020-02-05,372781216,2020-03-02,7599,9.33,7.3,70898.67,55472.7,15425.97
Sub-Saharan Africa,Egypt,Meat,Offline,C,2020-02-22,258148712,2020-02-29,1275,651.21,439.16,830292.75,559929.0,270363.75
Asia,Brazil,Cosmetics,Offline,L,2020-03-10,807894370,2020-03-14,8726,651.21,295.26,5682458.46,2576438.76,3106019.7
Sub-Saharan Africa,Canada,Snacks,Online,L,2020-03-27,674890494,2020-04-04,3652,81.73,39.85,298477.96,145532.2,152945.76
Australia and Oceania,Russia,Fruits,Online,C,2020-04-13,200532608,2020-05-06,2085,651.21,452.91,1357772.85,944317.35,413455.5
Middle East and North Africa,Kenya,Cereal,Offline,H,2020-04-30,158720660,2020-05-04,4443,35.84,16.2,159237.12,71976.6,87260.52
Middle East and North Africa,Germany,Vegetables,Online,M,2020-05-17,342130927,2020-06-01,8055,255.28,130.06,2056280.4,1047633.3,1008647.1
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2020-06-03,423664694,2020-06-16,3573,205.7,134.33,734966.1,479961.09,255005.01
Europe,Tuvalu,Cosmetics,Online,H,2020-06-20,592728837,2020-07-03,1521,437.2,308.66,664981.2,469471.86,195509.34
North America,Germany,Personal Care,Offline,H,2020-07-07,923407067,2020-07-25,4343,651.21,450.13,2828205.03,1954914.59,873290.44
North America,Brazil,Fruits,Offline,M,2020-07-24,370157776,2020-08-06,8489,154.06,82.11,1307815.34,697031.79,610783.55
Sub-Saharan Africa,Canada,Personal Care,Online,L,2020-08-10,247516100,2020-08-31,7373,9.33,6.66,68790.09,49104.18,19685.91
Central America and the Caribbean,Australia,Cosmetics,Offline,L,2020-08-27,800791554,2020-09-13,6175,35.84,19.27,221312.0,118992.25,102319.75
Central America and the Caribbean,Russia,Snacks,Online,H,2020-09-13,338077364,2020-10-10,661,437.2,249.38,288989.2,164840.18,124149.02
North America,Mexico,Fruits,Offline,H,2020-09-30,465714454,2020-10-25,4797,205.7,149.38,986742.9,716575.86,270167.04
North America,Rwanda,Personal Care,Offline,M,2020-10-17,181550308,2020-11-11,1495,437.2,301.83,653614.0,451235.85,202378.15
Middle East and North Africa,Brazil,Office Supplies,Online,M,2020-11-03,936512420,2020-11-21,8129,651.21,497.66,5293686.09,4045478.14,1248207.95
Europe,Egypt,Clothes,Online,L,2020-11-20,130413513,2020-12-03,1516,81.73,56.66,123902.68,85896.56,38006.12
Australia and Oceania,India,Baby Food,Online,C,2020-12-07,527982281,2020-12-31,8369,9.33,6.16,78082.77,51553.04,26529.73
Central America and the Caribbean,Mexico,Clothes,Offline,L,2020-12-24,649113938,2021-01-11,6939,9.33,4.52,64740.87,31364.28,33376.59
North America,Mexico,Cosmetics,Online,H,2021-01-10,961330509,2021-01-20,8392,81.73,47.9,685878.16,401976.8,283901.36
Middle East and North Africa,Mexico,Cereal,Offline,L,2021-01-27,980662984,2021-02-02,7363,255.28,139.93,1879626.64,1030304.59,849322.05
Asia,France,Baby Food,Offline,C,2021-02-13,654735469,2021-02-23,8416,12.5,6.75,105200.0,56808.0,48392.0
Middle East and North Africa,Brazil,Meat,Online,M,2021-03-02,106195200,2021-03-08,9029,35.84,29.03,323599.36,262111.87,61487.49
Central America and the Caribbean,Rwanda,Office Supplies,Online,C,2021-03-19,976392498,2021-04-14,1378,9.33,5.56,12856.74,7661.68,5195.06
Central America and the Caribbean,Tuvalu,Meat,Offline,C,2021-04-05,206222252,2021-05-02,5387,154.06,120.18,829921.22,647409.66,182511.56
Middle East and North Africa,Tuvalu,Fruits,Offline,C,2021-04-22,556016588,2021-04-27,5359,9.33,6.38,49999.47,34190.42,15809.05
Australia and Oceania,Brazil,Beverages,Online,M,2021-05-09,990035971,2021-05-14,6831,437.2,325.31,2986513.2,2222192.61,764320.59
Sub-Saharan Africa,Kenya,Baby Food,Online,C,2021-05-26,650703552,2021-06-24,9071,9.33,5.93,84632.43,53791.03,30841.4
Central America and the Caribbean,France,Meat,Online,C,2021-06-12,837448816,2021-07-02,9184,9.33,6.19,85686.72,56848.96,28837.76
Middle East and North Africa,India,Meat,Online,C,2021-06-29,130061031,2021-07-27,7708,12.5,7.9,96350.0,60893.2,35456.8
North America,Mexico,Personal Care,Online,H,2021-07-16,607356959,2021-08-06,5776,12.5,6.53,72200.0,37717.28,34482.72
Middle East and North Africa,Mexico,Clothes,Offline,C,2021-08-02,301418785,2021-08-23,2562,205.7,147.55,527003.4,378023.1,148980.3
Europe,Brazil,Personal Care,Offline,M,2021-08-19,564555355,2021-09-11,564,255.28,141.4,143977.92,79749.6,64228.32
Sub-Saharan Africa,Kenya,Baby Food,Offline,C,2021-09-05,180197726,2021-09-12,8506,154.06,70.71,1310434.36,601459.26,708975.1
Asia,Tuvalu,Baby Food,Offline,C,2021-09-22,587726151,2021-10-12,3068,9.33,6.43,28624.44,19727.24,8897.2
Australia and Oceania,Tuvalu,Cosmetics,Online,M,2021-10-09,195282726,2021-10-21,5963,9.33,4.81,55634.79,28682.03,26952.76
Asia,Canada,Personal Care,Online,C,2021-10-26,836901273,2021-11-19,2527,35.84,28.6,90567.68,72272.2,18295.48
Sub-Saharan Africa,Brazil,Household,Online,M,2021-11-12,187220897,2021-12-05,3195,12.5,10.04,39937.5,32077.8,7859.7
Sub-Saharan Africa,France,Vegetables,Offline,C,2021-11-29,195856757,2021-12-07,5758,154.06,121.48,887077.48,699481.84,187595.64
Sub-Saharan Africa,Japan,Clothes,Offline,M,2021-12-16,449487874,2021-12-19,6118,205.7,120.74,1258472.6,738687.32,519785.28
Asia,France,Baby Food,Online,C,2022-01-02,186601594,2022-01-09,7236,255.28,116.34,1847206.08,841836.24,1005369.84
North America,Egypt,Cosmetics,Online,C,2022-01-19,348151345,2022-01-30,891,81.73,64.85,72821.43,57781.35,15040.08
Sub-Saharan Africa,Tuvalu,Beverages,Offline,H,2022-02-05,538866187,2022-02-19,6392,255.28,155.32,1631749.76,992805.44,638944.32
Middle East and North Africa,Tuvalu,Personal Care,Offline,H,2022-02-22,385124544,2022-03-22,4061,437.2,353.11,1775469.2,1433979.71,341489.49
